"X","city","country","iso3c","ols_cohort","latitude","longitude"
"0sahene","Tamale","Ghana","GHA","OLS_5",9.4051992,-0.8423986
"0x174","Boston","United States","USA","OLS_3",42.3554334,-71.060511
"abdulelahsm","Dammam","Saudi Arabia","SAU","OLS_3",26.4367824,50.1039991
"abraham-dabengwa","Johannesburg","South Africa","ZAF","OLS_5",-26.205,28.049722
"abretaud","Rennes","France","FRA","OLS_4",48.1113387,-1.6800198
"acocac","London","United Kingdom","GBR","OLS_4",51.5073219,-0.1276474
"acocac","London","United Kingdom","GBR","OLS_5",51.5073219,-0.1276474
"adam-gristwood","Heidelberg","Germany","DEU","OLS_3",49.4093582,8.694724
"agossoubido2021","Abomey Calavi","Benin","BEN","OLS_5",6.4538637,2.354245
"aida-turing","London","United Kingdom","GBR","OLS_3",51.5073219,-0.1276474
"aidanbudd","Heidelberg","Germany","DEU","OLS_1",49.4093582,8.694724
"aidanbudd","Heidelberg","Germany","DEU","OLS_2",49.4093582,8.694724
"aidanbudd","Heidelberg","Germany","DEU","OLS_3",49.4093582,8.694724
"ajstewartlang","Manchester","United Kingdom","GBR","OLS_1",53.4794892,-2.2451148
"ajstewartlang","Manchester","United Kingdom","GBR","OLS_2",53.4794892,-2.2451148
"ajstewartlang","Manchester","United Kingdom","GBR","OLS_4",53.4794892,-2.2451148
"ajstewartlang","Manchester","United Kingdom","GBR","OLS_5",53.4794892,-2.2451148
"akalikadien","Delft","Netherlands","NLD","OLS_5",51.9994572,4.362724538544
"aldenc","London","United Kingdom","GBR","OLS_6",51.5073219,-0.1276474
"aleesteele","London","United Kingdom","GBR","OLS_5",51.5073219,-0.1276474
"aleesteele","London","United Kingdom","GBR","OLS_6",51.5073219,-0.1276474
"alihumayun","London","United Kingdom","GBR","OLS_3",51.5073219,-0.1276474
"alihumayun","London","United Kingdom","GBR","OLS_4",51.5073219,-0.1276474
"aliaslaurel","Córdoba","Argentina","ARG","OLS_6",37.8845813,-4.7760138
"amangoel185","New Delhi","India","IND","OLS_6",28.6138954,77.2090057
"anayan321","Bangkok","Thailand","THA","OLS_1",13.7524938,100.4935089
"anayan321","Bangkok","Thailand","THA","OLS_4",13.7524938,100.4935089
"andre-vargas-de","Cochabamba","Bolivia","BOL","OLS_5",-17.4012458,-66.16756808852
"andreasancheztapia","Merced, CA","United States","USA","OLS_6",NA,NA
"andreea-avramescu","Manchester","United Kingdom","GBR","OLS_4",53.4794892,-2.2451148
"anelda","Overberg","South Africa","ZAF","OLS_2",52.0390484,5.4964645
"anelda","Overberg","South Africa","ZAF","OLS_3",52.0390484,5.4964645
"anelda","Overberg","South Africa","ZAF","OLS_5",52.0390484,5.4964645
"anelda","Overberg","South Africa","ZAF","OLS_6",52.0390484,5.4964645
"anenadic","Manchester","United Kingdom","GBR","OLS_1",53.4794892,-2.2451148
"anenadic","Manchester","United Kingdom","GBR","OLS_2",53.4794892,-2.2451148
"anenadic","Manchester","United Kingdom","GBR","OLS_3",53.4794892,-2.2451148
"annakrystalli","Sheffield","United Kingdom","GBR","OLS_1",53.3806626,-1.4702278
"annakrystalli","Sheffield","United Kingdom","GBR","OLS_3",53.3806626,-1.4702278
"annalee-sekulic","Columbus","United States","USA","OLS_3",39.9622601,-83.0007065
"annefou","Oslo","Norway","NOR","OLS_4",59.9133301,10.7389701
"annefou","Oslo","Norway","NOR","OLS_5",59.9133301,10.7389701
"annemtreasure","Cape Town","South Africa","ZAF","OLS_5",-33.928992,18.417396
"annemtreasure","Cape Town","South Africa","ZAF","OLS_6",-33.928992,18.417396
"anshika-sah","New Delhi","India","IND","OLS_3",28.6138954,77.2090057
"antonioggsousa","Oeiras","Portugal","PRT","OLS_3",38.7124971,-9.27130038240727
"arentkievits","Delft","Netherlands","NLD","OLS_4",51.9994572,4.362724538544
"arielle-bennett","Stevenage","United Kingdom","GBR","OLS_2",51.9016663,-0.2027155
"arielle-bennett","Stevenage","United Kingdom","GBR","OLS_3",51.9016663,-0.2027155
"arielle-bennett","Stevenage","United Kingdom","GBR","OLS_4",51.9016663,-0.2027155
"arielle-bennett","Stevenage","United Kingdom","GBR","OLS_5",51.9016663,-0.2027155
"arielle-bennett","Stevenage","United Kingdom","GBR","OLS_6",51.9016663,-0.2027155
"ashutosh-tiwari","Bilaspur, Chhattisgarh","India","IND","OLS_3",NA,NA
"augustincaitlin","Orlando","United States","USA","OLS_4",28.5421109,-81.3790304
"ayeshadunk","London","United Kingdom","GBR","OLS_5",51.5073219,-0.1276474
"b14-rsa","Johannesburg","South Africa","ZAF","OLS_5",-26.205,28.049722
"babasaraki","Bauchi","Nigeria","NGA","OLS_2",10.3168749,9.8410189
"babasaraki","Bauchi","Nigeria","NGA","OLS_5",10.3168749,9.8410189
"babasaraki","Bauchi","Nigeria","NGA","OLS_6",10.3168749,9.8410189
"batoolmm","Liverpool","Saudi Arabia","SAU","OLS_3",53.4071991,-2.99168
"batoolmm","Liverpool","Saudi Arabia","SAU","OLS_4",53.4071991,-2.99168
"batoolmm","Liverpool","Saudi Arabia","SAU","OLS_5",53.4071991,-2.99168
"batoolmm","Liverpool","Saudi Arabia","SAU","OLS_6",53.4071991,-2.99168
"bduckles","Portland, Oregon","United States","USA","OLS_1",NA,NA
"bduckles","Portland, Oregon","United States","USA","OLS_2",NA,NA
"bduckles","Portland, Oregon","United States","USA","OLS_3",NA,NA
"bduckles","Portland, Oregon","United States","USA","OLS_4",NA,NA
"beatrizserrano","Freiburg","Germany","DEU","OLS_2",47.9960901,7.8494005
"beatrizserrano","Freiburg","Germany","DEU","OLS_3",47.9960901,7.8494005
"beatrizserrano","Freiburg","Germany","DEU","OLS_5",47.9960901,7.8494005
"bebatut","Freiburg","Germany","DEU","OLS_1",47.9960901,7.8494005
"bebatut","Freiburg","Germany","DEU","OLS_2",47.9960901,7.8494005
"bebatut","Freiburg","Germany","DEU","OLS_3",47.9960901,7.8494005
"bebatut","Freiburg","Germany","DEU","OLS_4",47.9960901,7.8494005
"bebatut","Freiburg","Germany","DEU","OLS_5",47.9960901,7.8494005
"bebatut","Freiburg","Germany","DEU","OLS_6",47.9960901,7.8494005
"birgül-çolak-al","Istanbul","Turkey","TUR","OLS_5",41.0091982,28.9662187
"bruno-soares","Rio De Janeiro","Brazil","BRA","OLS_1",-22.9110137,-43.2093727
"bruno-soares","Rio De Janeiro","Brazil","BRA","OLS_2",-22.9110137,-43.2093727
"bruno-soares","Rio De Janeiro","Brazil","BRA","OLS_3",-22.9110137,-43.2093727
"bruno-soares","Rio De Janeiro","Brazil","BRA","OLS_4",-22.9110137,-43.2093727
"burkemlou","Brisbane","Australia","AUS","OLS_2",-27.4689682,153.0234991
"burkemlou","Brisbane","Australia","AUS","OLS_3",-27.4689682,153.0234991
"c-martinez","Amsterdam","Netherlands","NLD","OLS_3",52.3730796,4.8924534
"callummole","London","United Kingdom","GBR","OLS_4",51.5073219,-0.1276474
"callummole","London","United Kingdom","GBR","OLS_5",51.5073219,-0.1276474
"camachoreina","Paris","France","FRA","OLS_3",48.8588897,2.32004102172008
"camachoreina","Paris","France","FRA","OLS_4",48.8588897,2.32004102172008
"camila-gómez","Cochabamba","Bolivia","BOL","OLS_5",-17.4012458,-66.16756808852
"cassgvp","Oxford","United Kingdom","GBR","OLS_1",51.7520131,-1.2578499
"cassgvp","Oxford","United Kingdom","GBR","OLS_2",51.7520131,-1.2578499
"cassgvp","Oxford","United Kingdom","GBR","OLS_5",51.7520131,-1.2578499
"cbolibaugh","York","United Kingdom","GBR","OLS_4",53.9590555,-1.0815361
"cel31","Barcelona","Spain","ESP","OLS_5",41.3828939,2.1774322
"cemonks","Perth","Australia","AUS","OLS_3",-31.9558964,115.8605801
"cemonks","Perth","Australia","AUS","OLS_4",-31.9558964,115.8605801
"cgentemann","Santa Rosa","United Statesa",NA,"OLS_6",38.4404925,-122.7141049
"christinerogers","Montreal","Canada","CAN","OLS_1",45.5031824,-73.5698065
"christinerogers","Montreal","Canada","CAN","OLS_2",45.5031824,-73.5698065
"christinerogers","Montreal","Canada","CAN","OLS_3",45.5031824,-73.5698065
"chucklesongithub","Buenos Aires","Argentina","ARG","OLS_4",-34.6075682,-58.4370894
"cl379","Barcelona","Spain","ESP","OLS_3",41.3828939,2.1774322
"cl379","Barcelona","Spain","ESP","OLS_5",41.3828939,2.1774322
"codito22","Lima","Peru","PER","OLS_5",-12.0621065,-77.0365256
"complexbrains","Reading","United Kingdom","GBR","OLS_5",51.456659,-0.9696512
"complexbrains","Reading","United Kingdom","GBR","OLS_6",51.456659,-0.9696512
"coopersmout","Brisbane","Australia","AUS","OLS_2",-27.4689682,153.0234991
"coopersmout","Brisbane","Australia","AUS","OLS_4",-27.4689682,153.0234991
"da5nsy","Washington Dc","United States","USA","OLS_2",38.8950368,-77.0365427
"da5nsy","Washington Dc","United States","USA","OLS_3",38.8950368,-77.0365427
"da5nsy","Washington Dc","United States","USA","OLS_4",38.8950368,-77.0365427
"dadditolu","Glasgow","United Kingdom","GBR","OLS_3",55.8609825,-4.2488787
"dadditolu","Glasgow","United Kingdom","GBR","OLS_6",55.8609825,-4.2488787
"darwin-diaz","Lima","Peru","PER","OLS_5",-12.0621065,-77.0365256
"david-selassie-opoku","Berlin","Germany","DEU","OLS_4",52.5170365,13.3888599
"deepakunni3","Basel","Switzerland","CHE","OLS_5",47.5581077,7.5878261
"deepakunni3","Basel","Switzerland","CHE","OLS_6",47.5581077,7.5878261
"delphine-l","Raleigh","United States","USA","OLS_2",35.7803977,-78.6390989
"delphine-l","Raleigh","United States","USA","OLS_4",35.7803977,-78.6390989
"demellina","London","United Kingdom","GBR","OLS_1",51.5073219,-0.1276474
"demellina","London","United Kingdom","GBR","OLS_2",51.5073219,-0.1276474
"demellina","London","United Kingdom","GBR","OLS_3",51.5073219,-0.1276474
"didik-utomo","Malang","Indonesia","IDN","OLS_3",-7.9771206,112.6340291
